FIPS,FIPSTEXT,y17_M001_valueText,y17_M001_classRange,y17_M001_valueNumeric,y17_M002_valueText,y17_M002_classRange,y17_M002_valueNumeric,y17_M003_valueText,y17_M003_classRange,y17_M003_valueNumeric,y17_M004_valueText,y17_M004_classRange,y17_M004_valueNumeric,y17_M005_valueText,y17_M005_classRange,y17_M005_valueNumeric,y17_M006_valueText,y17_M006_classRange,y17_M006_valueNumeric,y17_M007_valueText,y17_M007_classRange,y17_M007_valueNumeric,y17_M008_valueText,y17_M008_classRange,y17_M008_valueNumeric,y17_M009_valueText,y17_M009_classRange,y17_M009_valueNumeric,y17_M010_valueText,y17_M010_classRange,y17_M010_valueNumeric,y17_M058_valueText,y17_M058_classRange,y17_M058_valueNumeric,y17_M059_valueText,y17_M059_classRange,y17_M059_valueNumeric,y17_M060_valueText,y17_M060_classRange,y17_M060_valueNumeric,y17_M061_valueText,y17_M061_classRange,y17_M061_valueNumeric,y17_M062_valueText,y17_M062_classRange,y17_M062_valueNumeric,y17_M063_valueText,y17_M063_classRange,y17_M063_valueNumeric,y17_M064_valueText,y17_M064_classRange,y17_M064_valueNumeric,y17_M065_valueText,y17_M065_classRange,y17_M065_valueNumeric,y17_M066_valueText,y17_M066_classRange,y17_M066_valueNumeric,y17_M067_valueText,y17_M067_classRange,y17_M067_valueNumeric,y17_M068_valueText,y17_M068_classRange,y17_M068_valueNumeric,y17_M069_valueText,y17_M069_classRange,y17_M069_valueNumeric,y17_M070_valueText,y17_M070_classRange,y17_M070_valueNumeric,y17_M071_valueText,y17_M071_classRange,y17_M071_valueNumeric,y17_M076_valueText,y17_M076_classRange,y17_M076_valueNumeric,y17_M077_valueText,y17_M077_classRange,y17_M077_valueNumeric,y17_M078_valueText,y17_M078_classRange,y17_M078_valueNumeric,y17_M079_valueText,y17_M079_classRange,y17_M079_valueNumeric,y17_M080_valueText,y17_M080_classRange,y17_M080_valueNumeric,y17_M081_valueText,y17_M081_classRange,y17_M081_valueNumeric,y17_M082_valueText,y17_M082_classRange,y17_M082_valueNumeric,y17_M083_valueText,y17_M083_classRange,y17_M083_valueNumeric,y17_M091_valueText,y17_M091_classRange,y17_M091_valueNumeric,y17_M092_valueText,y17_M092_classRange,y17_M092_valueNumeric,y17_M093_valueText,y17_M093_classRange,y17_M093_valueNumeric,y17_M201_valueText,y17_M201_classRange,y17_M201_valueNumeric
49011,49011,528,500 - 749,528.00,0.18,Sparse Data,0.18,98,50 - 179,98.00,0.43,Negligible Change,0.43,0.01,Sparse Data,0.01,-1.14,Sparse Data,-1.14,-3.82,Sparse Data,-3.82,-5.29,Sparse Data,-5.29,0.61,Sparse Data,0.61,1.72,Sparse Data,1.72,-0.54,Sparse Data,-0.54,27.1,10 - 29,27.10,-0.68,Negligible Change,-0.68,19.30,10 - 24,19.30,-1.45,Sparse Data,-1.45,4.03,Less than 5,4.03,14.90,10 - 19,14.90,-1.78,Sparse Data,-1.78,12.19,10 - 19,12.19,91.97,90 or more,91.97,76.55,70 - 89,76.55,10.56,10 - 14,10.56,0.00,Less than 1,0.00,1.50,Less than 5,1.50,71.85,70 - 79,71.85,61.27,50 - 64,61.27,9.29,5 - 14,9.29,22.65,20 - 29,22.65,0.08,Less than 1,0.08,80.94,75 - 89,80.94,(D),Less than 5,,5.03,5 - 9,5.03,81.82,75 - 84,81.82,6.25,5 - 9,6.25,6.06,5 - 9,6.06,76.14,75 - 84,76.14
49013,49013,1063,"1,000 or more",1063.00,0.01,Sparse Data,0.01,995,"500 - 1,999",995.00,0.64,Negligible Change,0.64,0.26,Negligible Change,0.26,-0.26,Negligible Change,-0.26,-0.24,Sparse Data,-0.24,-1.22,Slight Decrease,-1.22,-0.55,Sparse Data,-0.55,0.11,Sparse Data,0.11,-0.26,Negligible Change,-0.26,51.1,50 - 69,51.10,-0.08,Negligible Change,-0.08,9.13,5 - 9,9.13,-0.03,Sparse Data,-0.03,3.73,Less than 5,3.73,7.31,Less than 10,7.31,0.01,Sparse Data,0.01,5.63,Less than 10,5.63,97.98,90 or more,97.98,91.74,90 or more,91.74,3.94,1 - 4,3.94,0.00,Less than 1,0.00,1.53,Less than 5,1.53,44.13,40 - 49,44.13,39.97,35 - 49,39.97,8.87,5 - 14,8.87,7.73,Less than 10,7.73,0.00,Less than 1,0.00,18.19,Less than 30,18.19,0.76,Less than 5,0.76,(D),Less than 5,,82.03,75 - 84,82.03,6.49,5 - 9,6.49,5.83,5 - 9,5.83,82.03,75 - 84,82.03
49015,49015,504,500 - 749,504.00,-0.43,Negligible Change,-0.43,265,180 - 499,265.00,-0.90,Negligible Change,-0.90,0.09,Sparse Data,0.09,-0.54,Negligible Change,-0.54,-0.14,Sparse Data,-0.14,-0.99,Sparse Data,-0.99,0.23,Sparse Data,0.23,0.00,Sparse Data,0.00,-1.43,Sparse Data,-1.43,4.7,Less than 10,4.70,-1.01,Slight Decrease,-1.01,24.57,10 - 24,24.57,-0.29,Sparse Data,-0.29,1.29,Less than 5,1.29,27.58,20 - 39,27.58,-0.47,Sparse Data,-0.47,15.98,10 - 19,15.98,99.67,90 or more,99.67,68.03,50 - 69,68.03,12.70,10 - 14,12.70,0.00,Less than 1,0.00,4.03,Less than 5,4.03,34.16,Less than 40,34.16,33.63,20 - 34,33.63,12.94,5 - 14,12.94,10.44,10 - 19,10.44,(D),Less than 1,,7.14,Less than 30,7.14,0.02,Less than 5,0.02,(D),Less than 5,,86.11,85 - 89,86.11,8.73,5 - 9,8.73,2.38,2 - 4,2.38,84.52,75 - 84,84.52
49017,49017,286,250 - 499,286.00,0.07,Sparse Data,0.07,289,180 - 499,289.00,0.08,Sparse Data,0.08,0.63,Negligible Change,0.63,-0.38,Sparse Data,-0.38,0.00,Sparse Data,0.00,-1.55,Sparse Data,-1.55,0.30,Sparse Data,0.30,-1.31,Sparse Data,-1.31,-0.92,Sparse Data,-0.92,2.5,Less than 10,2.50,0.14,Sparse Data,0.14,25.65,25 - 39,25.65,-0.18,Sparse Data,-0.18,0.49,Less than 5,0.49,19.72,10 - 19,19.72,-0.32,Sparse Data,-0.32,15.75,10 - 19,15.75,86.18,60 - 89,86.18,78.25,70 - 89,78.25,15.43,15 - 29,15.43,0.00,Less than 1,0.00,(D),Less than 5,,44.26,40 - 49,44.26,42.70,35 - 49,42.70,3.99,Less than 5,3.99,29.04,20 - 29,29.04,0.00,Less than 1,0.00,8.73,Less than 30,8.73,(D),Less than 5,,0.00,Less than 5,0.00,82.17,75 - 84,82.17,5.94,5 - 9,5.94,8.39,5 - 9,8.39,72.38,65 - 74,72.38
49019,49019,102,Less than 250,102.00,0.58,Sparse Data,0.58,2268,"2,000 or more",2268.00,0.23,Sparse Data,0.23,-0.33,Sparse Data,-0.33,0.22,Sparse Data,0.22,1.31,Sparse Data,1.31,0.00,Sparse Data,0.00,1.22,Sparse Data,1.22,0.00,Sparse Data,0.00,(D),Sparse Data,,9.8,Less than 10,9.80,1.19,Slight Increase,1.19,4.97,1 - 4,4.97,1.34,Sparse Data,1.34,0.62,Less than 5,0.62,6.29,Less than 10,6.29,1.40,Sparse Data,1.40,4.19,Less than 10,4.19,99.85,90 or more,99.85,(D),90 or more,,(D),Less than 1,,0.00,Less than 1,0.00,(D),Less than 5,,23.63,Less than 40,23.63,21.80,20 - 34,21.80,28.85,15 - 29,28.85,(D),Less than 10,,0.00,Less than 1,0.00,20.82,Less than 30,20.82,0.00,Less than 5,0.00,0.00,Less than 5,0.00,63.73,Less than 75,63.73,8.82,5 - 9,8.82,19.61,15 - 19,19.61,81.37,75 - 84,81.37
49021,49021,486,250 - 499,486.00,-0.13,Sparse Data,-0.13,1055,"500 - 1,999",1055.00,0.00,Sparse Data,0.00,-0.37,Sparse Data,-0.37,-0.05,Sparse Data,-0.05,-0.03,Sparse Data,-0.03,0.43,Sparse Data,0.43,-0.21,Sparse Data,-0.21,-0.52,Sparse Data,-0.52,-0.33,Sparse Data,-0.33,24.3,10 - 29,24.30,0.08,Negligible Change,0.08,12.55,10 - 24,12.55,0.16,Sparse Data,0.16,3.96,Less than 5,3.96,16.27,10 - 19,16.27,0.07,Sparse Data,0.07,12.71,10 - 19,12.71,94.20,90 or more,94.20,81.43,70 - 89,81.43,0.71,Less than 1,0.71,0.00,Less than 1,0.00,7.91,5 - 19,7.91,51.52,50 - 59,51.52,57.10,50 - 64,57.10,21.04,15 - 29,21.04,38.34,30 - 39,38.34,(D),Less than 1,,52.19,50 - 64,52.19,0.35,Less than 5,0.35,(D),Less than 5,,72.43,Less than 75,72.43,11.32,10 - 14,11.32,13.58,10 - 14,13.58,75.72,75 - 84,75.72
49023,49023,292,250 - 499,292.00,-0.55,Negligible Change,-0.55,906,"500 - 1,999",906.00,-0.86,Negligible Change,-0.86,-0.80,Sparse Data,-0.80,-0.07,Sparse Data,-0.07,-0.41,Sparse Data,-0.41,-0.30,Sparse Data,-0.30,-0.72,Sparse Data,-0.72,0.19,Sparse Data,0.19,0.73,Sparse Data,0.73,12.2,10 - 29,12.20,0.25,Negligible Change,0.25,8.97,5 - 9,8.97,0.36,Sparse Data,0.36,2.61,Less than 5,2.61,21.39,20 - 39,21.39,0.33,Sparse Data,0.33,10.21,10 - 19,10.21,77.88,60 - 89,77.88,79.93,70 - 89,79.93,1.27,1 - 4,1.27,4.46,3 - 5,4.46,4.07,Less than 5,4.07,22.35,Less than 40,22.35,(D),20 - 34,,5.13,5 - 14,5.13,18.75,10 - 19,18.75,0.25,Less than 1,0.25,27.55,Less than 30,27.55,(D),Less than 5,,(D),Less than 5,,74.66,Less than 75,74.66,9.93,5 - 9,9.93,10.96,10 - 14,10.96,80.48,75 - 84,80.48
49025,49025,182,Less than 250,182.00,-0.01,Sparse Data,-0.01,707,"500 - 1,999",707.00,0.12,Sparse Data,0.12,0.61,Sparse Data,0.61,-0.94,Sparse Data,-0.94,-0.61,Sparse Data,-0.61,0.46,Sparse Data,0.46,0.00,Sparse Data,0.00,0.21,Sparse Data,0.21,0.22,Sparse Data,0.22,5.0,Less than 10,5.00,0.79,Negligible Change,0.79,5.36,5 - 9,5.36,0.19,Sparse Data,0.19,0.19,Less than 5,0.19,3.78,Less than 10,3.78,0.43,Sparse Data,0.43,2.63,Less than 10,2.63,98.26,90 or more,98.26,93.64,90 or more,93.64,2.96,1 - 4,2.96,0.00,Less than 1,0.00,2.60,Less than 5,2.60,38.91,Less than 40,38.91,32.51,20 - 34,32.51,1.62,Less than 5,1.62,18.53,10 - 19,18.53,0.00,Less than 1,0.00,16.84,Less than 30,16.84,0.00,Less than 5,0.00,(D),5 - 9,,70.33,Less than 75,70.33,9.34,5 - 9,9.34,12.64,10 - 14,12.64,82.97,75 - 84,82.97
49027,49027,654,500 - 749,654.00,-0.30,Negligible Change,-0.30,736,"500 - 1,999",736.00,-0.32,Negligible Change,-0.32,-0.32,Sparse Data,-0.32,-0.50,Negligible Change,-0.50,0.37,Negligible Change,0.37,-0.63,Negligible Change,-0.63,0.13,Sparse Data,0.13,-0.63,Negligible Change,-0.63,-1.68,Slight Decrease,-1.68,11.4,10 - 29,11.40,0.11,Negligible Change,0.11,25.48,25 - 39,25.48,-0.09,Sparse Data,-0.09,3.45,Less than 5,3.45,30.31,20 - 39,30.31,0.03,Sparse Data,0.03,23.38,20 - 39,23.38,98.11,90 or more,98.11,65.05,50 - 69,65.05,3.91,1 - 4,3.91,2.03,1 - 2,2.03,5.63,5 - 19,5.63,62.86,60 - 69,62.86,61.31,50 - 64,61.31,13.66,5 - 14,13.66,50.27,40 - 59,50.27,1.20,1 - 4,1.20,56.15,50 - 64,56.15,1.00,Less than 5,1.00,0.38,Less than 5,0.38,76.61,75 - 84,76.61,13.30,10 - 14,13.30,7.95,5 - 9,7.95,81.50,75 - 84,81.50
49029,49029,372,250 - 499,372.00,0.53,Negligible Change,0.53,652,"500 - 1,999",652.00,0.39,Negligible Change,0.39,0.57,Negligible Change,0.57,0.39,Sparse Data,0.39,-0.56,Sparse Data,-0.56,-0.11,Sparse Data,-0.11,0.76,Sparse Data,0.76,0.59,Sparse Data,0.59,0.51,Sparse Data,0.51,62.2,50 - 69,62.20,0.00,Sparse Data,0.00,3.72,1 - 4,3.72,0.11,Sparse Data,0.11,4.27,Less than 5,4.27,6.85,Less than 10,6.85,0.26,Sparse Data,0.26,5.21,Less than 10,5.21,58.52,40 - 59,58.52,90.79,90 or more,90.79,0.74,Less than 1,0.74,(D),Less than 1,,0.86,Less than 5,0.86,30.16,Less than 40,30.16,24.68,20 - 34,24.68,9.21,5 - 14,9.21,3.60,Less than 10,3.60,0.00,Less than 1,0.00,17.31,Less than 30,17.31,0.00,Less than 5,0.00,(D),Less than 5,,85.48,85 - 89,85.48,5.38,5 - 9,5.38,5.38,5 - 9,5.38,80.91,75 - 84,80.91
