FIPS,FIPSTEXT,y17_M001_valueText,y17_M001_classRange,y17_M001_valueNumeric,y17_M002_valueText,y17_M002_classRange,y17_M002_valueNumeric,y17_M003_valueText,y17_M003_classRange,y17_M003_valueNumeric,y17_M004_valueText,y17_M004_classRange,y17_M004_valueNumeric,y17_M005_valueText,y17_M005_classRange,y17_M005_valueNumeric,y17_M006_valueText,y17_M006_classRange,y17_M006_valueNumeric,y17_M007_valueText,y17_M007_classRange,y17_M007_valueNumeric,y17_M008_valueText,y17_M008_classRange,y17_M008_valueNumeric,y17_M009_valueText,y17_M009_classRange,y17_M009_valueNumeric,y17_M010_valueText,y17_M010_classRange,y17_M010_valueNumeric,y17_M058_valueText,y17_M058_classRange,y17_M058_valueNumeric,y17_M059_valueText,y17_M059_classRange,y17_M059_valueNumeric,y17_M060_valueText,y17_M060_classRange,y17_M060_valueNumeric,y17_M061_valueText,y17_M061_classRange,y17_M061_valueNumeric,y17_M062_valueText,y17_M062_classRange,y17_M062_valueNumeric,y17_M063_valueText,y17_M063_classRange,y17_M063_valueNumeric,y17_M064_valueText,y17_M064_classRange,y17_M064_valueNumeric,y17_M065_valueText,y17_M065_classRange,y17_M065_valueNumeric,y17_M066_valueText,y17_M066_classRange,y17_M066_valueNumeric,y17_M067_valueText,y17_M067_classRange,y17_M067_valueNumeric,y17_M068_valueText,y17_M068_classRange,y17_M068_valueNumeric,y17_M069_valueText,y17_M069_classRange,y17_M069_valueNumeric,y17_M070_valueText,y17_M070_classRange,y17_M070_valueNumeric,y17_M071_valueText,y17_M071_classRange,y17_M071_valueNumeric,y17_M076_valueText,y17_M076_classRange,y17_M076_valueNumeric,y17_M077_valueText,y17_M077_classRange,y17_M077_valueNumeric,y17_M078_valueText,y17_M078_classRange,y17_M078_valueNumeric,y17_M079_valueText,y17_M079_classRange,y17_M079_valueNumeric,y17_M080_valueText,y17_M080_classRange,y17_M080_valueNumeric,y17_M081_valueText,y17_M081_classRange,y17_M081_valueNumeric,y17_M082_valueText,y17_M082_classRange,y17_M082_valueNumeric,y17_M083_valueText,y17_M083_classRange,y17_M083_valueNumeric,y17_M091_valueText,y17_M091_classRange,y17_M091_valueNumeric,y17_M092_valueText,y17_M092_classRange,y17_M092_valueNumeric,y17_M093_valueText,y17_M093_classRange,y17_M093_valueNumeric,y17_M201_valueText,y17_M201_classRange,y17_M201_valueNumeric
0,00000,2042220,,2042220.00,-0.87,,-0.87,441,,441.00,1.30,,1.30,-0.15,,-0.15,-5.10,,-5.10,-2.68,,-2.68,-2.16,,-2.16,-0.89,,-0.89,0.88,,0.88,-0.60,,-0.60,39.8,,39.80,1.20,,1.20,6.44,,6.44,1.11,,1.11,17.54,,17.54,44.04,,44.04,0.92,,0.92,35.55,,35.55,16.86,,16.86,48.94,,48.94,0.92,,0.92,2.55,,2.55,31.59,,31.59,64.01,,64.01,60.98,,60.98,6.03,,6.03,28.36,,28.36,3.70,,3.70,73.91,,73.91,3.72,,3.72,11.17,,11.17,85.75,,85.75,6.37,,6.37,5.72,,5.72,75.41,,75.41
1001,01001,371,250 - 499,371.00,-0.17,Sparse Data,-0.17,305,180 - 499,305.00,0.03,Sparse Data,0.03,-0.16,Sparse Data,-0.16,-0.13,Sparse Data,-0.13,-0.21,Sparse Data,-0.21,0.05,Sparse Data,0.05,0.00,Sparse Data,0.00,-0.27,Sparse Data,-0.27,0.06,Sparse Data,0.06,29.8,10 - 29,29.80,-0.16,Sparse Data,-0.16,1.25,1 - 4,1.25,-0.34,Sparse Data,-0.34,9.70,5 - 14,9.70,32.58,20 - 39,32.58,-0.21,Sparse Data,-0.21,24.34,20 - 39,24.34,4.22,Less than 5,4.22,25.45,15 - 29,25.45,0.86,Less than 1,0.86,1.17,1 - 2,1.17,14.15,5 - 19,14.15,67.53,60 - 69,67.53,45.18,35 - 49,45.18,10.11,5 - 14,10.11,27.88,20 - 29,27.88,0.18,Less than 1,0.18,58.36,50 - 64,58.36,23.90,20 - 29,23.90,0.90,Less than 5,0.90,93.26,90 - 94,93.26,4.58,Less than 5,4.58,1.35,Less than 2,1.35,76.82,75 - 84,76.82
1003,01003,842,750 - 999,842.00,-0.59,Negligible Change,-0.59,208,180 - 499,208.00,0.01,Sparse Data,0.01,-0.47,Negligible Change,-0.47,-1.05,Slight Decrease,-1.05,-0.79,Negligible Change,-0.79,0.36,Sparse Data,0.36,0.44,Sparse Data,0.44,-0.46,Sparse Data,-0.46,-0.35,Sparse Data,-0.35,17.2,10 - 29,17.20,-0.05,Sparse Data,-0.05,4.25,1 - 4,4.25,0.27,Sparse Data,0.27,10.85,5 - 14,10.85,63.18,60 - 79,63.18,0.08,Sparse Data,0.08,53.95,40 - 59,53.95,(D),5 - 19,,19.51,15 - 29,19.51,(D),Less than 1,,1.83,1 - 2,1.83,42.38,35 - 49,42.38,80.79,80 or more,80.79,76.69,75 or more,76.69,5.48,5 - 14,5.48,70.25,60 or more,70.25,15.83,15 - 24,15.83,78.42,75 - 89,78.42,10.64,10 - 19,10.64,54.45,40 or more,54.45,85.27,85 - 89,85.27,5.34,5 - 9,5.34,7.24,5 - 9,7.24,78.15,75 - 84,78.15
1005,01005,498,250 - 499,498.00,-0.50,Negligible Change,-0.50,307,180 - 499,307.00,-0.06,Sparse Data,-0.06,0.56,Sparse Data,0.56,-0.69,Negligible Change,-0.69,-0.63,Negligible Change,-0.63,-0.38,Sparse Data,-0.38,0.23,Sparse Data,0.23,-1.02,Sparse Data,-1.02,-1.10,Slight Decrease,-1.10,27.0,10 - 29,27.00,0.76,Sparse Data,0.76,2.36,1 - 4,2.36,-0.31,Sparse Data,-0.31,6.59,5 - 14,6.59,24.42,20 - 39,24.42,0.27,Sparse Data,0.27,16.52,10 - 19,16.52,(D),5 - 19,,30.00,30 - 49,30.00,(D),Less than 1,,7.43,6 - 8,7.43,12.72,5 - 19,12.72,78.84,70 - 79,78.84,48.87,35 - 49,48.87,28.16,15 - 29,28.16,27.11,20 - 29,27.11,1.36,1 - 4,1.36,63.91,50 - 64,63.91,7.19,5 - 9,7.19,(D),Less than 5,,93.37,90 - 94,93.37,3.21,Less than 5,3.21,2.81,2 - 4,2.81,60.64,55 - 64,60.64
1007,01007,205,Less than 250,205.00,0.27,Sparse Data,0.27,273,180 - 499,273.00,0.44,Negligible Change,0.44,-0.05,Sparse Data,-0.05,-0.25,Sparse Data,-0.25,0.54,Sparse Data,0.54,-1.38,Sparse Data,-1.38,-0.23,Sparse Data,-0.23,1.47,Sparse Data,1.47,-0.02,Sparse Data,-0.02,14.0,10 - 29,14.00,0.59,Sparse Data,0.59,0.14,Less than 1,0.14,0.65,Sparse Data,0.65,3.97,Less than 5,3.97,28.27,20 - 39,28.27,0.86,Sparse Data,0.86,19.32,10 - 19,19.32,0.61,Less than 5,0.61,29.43,15 - 29,29.43,0.07,Less than 1,0.07,0.76,Less than 1,0.76,8.47,5 - 19,8.47,52.53,50 - 59,52.53,25.89,20 - 34,25.89,4.64,Less than 5,4.64,(D),10 - 19,,0.00,Less than 1,0.00,55.13,50 - 64,55.13,0.00,Less than 5,0.00,(D),Less than 5,,93.17,90 - 94,93.17,1.95,Less than 5,1.95,4.88,2 - 4,4.88,73.17,65 - 74,73.17
1009,01009,1146,"1,000 or more",1146.00,-0.28,Negligible Change,-0.28,129,50 - 179,129.00,0.04,Sparse Data,0.04,-0.22,Negligible Change,-0.22,-0.54,Negligible Change,-0.54,0.23,Sparse Data,0.23,-0.12,Sparse Data,-0.12,0.42,Sparse Data,0.42,-0.62,Sparse Data,-0.62,0.05,Sparse Data,0.05,35.9,30 - 49,35.90,1.00,Sparse Data,1.00,0.63,Less than 1,0.63,0.48,Sparse Data,0.48,10.61,5 - 14,10.61,29.55,20 - 39,29.55,0.33,Sparse Data,0.33,20.98,20 - 39,20.98,2.17,Less than 5,2.17,48.17,30 - 49,48.17,0.36,Less than 1,0.36,1.18,1 - 2,1.18,8.74,5 - 19,8.74,84.41,80 or more,84.41,30.09,20 - 34,30.09,29.60,15 - 29,29.60,18.45,10 - 19,18.45,4.43,1 - 4,4.43,81.70,75 - 89,81.70,3.77,Less than 5,3.77,1.18,Less than 5,1.18,94.24,90 - 94,94.24,3.49,Less than 5,3.49,2.01,2 - 4,2.01,74.61,65 - 74,74.61
1011,01011,255,250 - 499,255.00,-0.24,Sparse Data,-0.24,452,180 - 499,452.00,0.19,Sparse Data,0.19,-0.11,Sparse Data,-0.11,-0.04,Sparse Data,-0.04,0.35,Sparse Data,0.35,-0.73,Sparse Data,-0.73,0.07,Sparse Data,0.07,-1.54,Sparse Data,-1.54,-1.35,Slight Decrease,-1.35,28.9,10 - 29,28.90,-1.83,Sparse Data,-1.83,0.10,Less than 1,0.10,-0.83,Sparse Data,-0.83,5.01,5 - 14,5.01,17.32,10 - 19,17.32,-0.82,Sparse Data,-0.82,8.61,Less than 10,8.61,1.21,Less than 5,1.21,32.47,30 - 49,32.47,0.00,Less than 1,0.00,5.60,3 - 5,5.60,8.63,5 - 19,8.63,41.69,40 - 49,41.69,26.04,20 - 34,26.04,20.77,15 - 29,20.77,19.50,10 - 19,19.50,0.43,Less than 1,0.43,46.45,30 - 49,46.45,(D),Less than 5,,2.12,Less than 5,2.12,79.22,75 - 84,79.22,13.33,10 - 14,13.33,5.49,5 - 9,5.49,69.02,65 - 74,69.02
1013,01013,420,250 - 499,420.00,0.11,Sparse Data,0.11,201,180 - 499,201.00,-0.73,Negligible Change,-0.73,0.70,Negligible Change,0.70,0.15,Sparse Data,0.15,-0.09,Sparse Data,-0.09,-1.60,Sparse Data,-1.60,-1.23,Sparse Data,-1.23,0.38,Sparse Data,0.38,-0.17,Sparse Data,-0.17,17.0,10 - 29,17.00,2.72,Sparse Data,2.72,0.65,Less than 1,0.65,-0.57,Sparse Data,-0.57,3.56,Less than 5,3.56,21.00,20 - 39,21.00,0.17,Sparse Data,0.17,16.92,10 - 19,16.92,0.67,Less than 5,0.67,23.16,15 - 29,23.16,2.32,1 - 4,2.32,1.69,1 - 2,1.69,9.26,5 - 19,9.26,80.40,80 or more,80.40,47.59,35 - 49,47.59,19.21,15 - 29,19.21,11.66,10 - 19,11.66,1.86,1 - 4,1.86,51.77,50 - 64,51.77,(D),Less than 5,,12.12,10 - 24,12.12,92.62,90 - 94,92.62,2.62,Less than 5,2.62,4.76,2 - 4,4.76,73.81,65 - 74,73.81
1015,01015,643,500 - 749,643.00,0.27,Negligible Change,0.27,138,50 - 179,138.00,0.05,Sparse Data,0.05,0.06,Sparse Data,0.06,0.47,Negligible Change,0.47,-0.28,Sparse Data,-0.28,0.74,Sparse Data,0.74,0.39,Sparse Data,0.39,-0.84,Sparse Data,-0.84,0.32,Sparse Data,0.32,22.9,10 - 29,22.90,0.23,Sparse Data,0.23,1.19,1 - 4,1.19,0.80,Sparse Data,0.80,7.34,5 - 14,7.34,31.99,20 - 39,31.99,0.63,Sparse Data,0.63,26.12,20 - 39,26.12,(D),Less than 5,,37.80,30 - 49,37.80,(D),Less than 1,,1.23,1 - 2,1.23,17.80,5 - 19,17.80,84.99,80 or more,84.99,43.22,35 - 49,43.22,34.43,30 - 59,34.43,17.85,10 - 19,17.85,(D),Less than 1,,69.65,65 - 74,69.65,11.43,10 - 19,11.43,0.28,Less than 5,0.28,93.78,90 - 94,93.78,2.95,Less than 5,2.95,2.64,2 - 4,2.64,77.14,75 - 84,77.14
1017,01017,331,250 - 499,331.00,0.31,Sparse Data,0.31,389,180 - 499,389.00,0.27,Sparse Data,0.27,0.32,Sparse Data,0.32,0.13,Sparse Data,0.13,-0.71,Sparse Data,-0.71,0.50,Sparse Data,0.50,0.48,Sparse Data,0.48,1.66,Sparse Data,1.66,0.96,Negligible Change,0.96,33.7,30 - 49,33.70,1.27,Sparse Data,1.27,0.12,Less than 1,0.12,-0.62,Sparse Data,-0.62,3.27,Less than 5,3.27,9.71,Less than 10,9.71,-0.10,Sparse Data,-0.10,7.45,Less than 10,7.45,(D),Less than 5,,37.42,30 - 49,37.42,(D),Less than 1,,1.58,1 - 2,1.58,6.33,5 - 19,6.33,184.59,80 or more,184.59,33.81,20 - 34,33.81,63.78,60 or more,63.78,13.22,10 - 19,13.22,(D),Less than 1,,169.59,90 or more,169.59,(D),Less than 5,,0.51,Less than 5,0.51,89.73,85 - 89,89.73,4.53,Less than 5,4.53,5.74,5 - 9,5.74,71.90,65 - 74,71.90
1019,01019,530,500 - 749,530.00,-0.20,Sparse Data,-0.20,229,180 - 499,229.00,0.09,Sparse Data,0.09,0.35,Negligible Change,0.35,-0.69,Negligible Change,-0.69,-0.75,Negligible Change,-0.75,-0.04,Sparse Data,-0.04,-0.22,Sparse Data,-0.22,1.05,Sparse Data,1.05,-0.08,Sparse Data,-0.08,34.2,30 - 49,34.20,-0.71,Sparse Data,-0.71,0.66,Less than 1,0.66,0.61,Negligible Change,0.61,20.54,15 - 29,20.54,59.98,40 - 59,59.98,-0.07,Sparse Data,-0.07,42.57,40 - 59,42.57,1.56,Less than 5,1.56,21.89,15 - 29,21.89,0.00,Less than 1,0.00,2.22,1 - 2,2.22,45.49,35 - 49,45.49,78.39,70 - 79,78.39,70.91,65 - 74,70.91,8.45,5 - 14,8.45,33.11,30 - 39,33.11,2.34,1 - 4,2.34,89.67,75 - 89,89.67,33.63,30 or more,33.63,3.79,Less than 5,3.79,91.32,90 - 94,91.32,4.34,Less than 5,4.34,3.21,2 - 4,3.21,73.21,65 - 74,73.21
1021,01021,463,250 - 499,463.00,-0.59,Negligible Change,-0.59,165,50 - 179,165.00,0.12,Sparse Data,0.12,-0.22,Sparse Data,-0.22,-0.73,Negligible Change,-0.73,-1.13,Slight Decrease,-1.13,0.18,Sparse Data,0.18,0.00,Sparse Data,0.00,-1.29,Sparse Data,-1.29,-0.67,Sparse Data,-0.67,17.2,10 - 29,17.20,0.97,Sparse Data,0.97,1.13,1 - 4,1.13,-0.23,Sparse Data,-0.23,4.96,Less than 5,4.96,28.82,20 - 39,28.82,0.15,Sparse Data,0.15,21.19,20 - 39,21.19,4.74,Less than 5,4.74,40.58,30 - 49,40.58,0.30,Less than 1,0.30,1.41,1 - 2,1.41,4.20,Less than 5,4.20,75.40,70 - 79,75.40,46.70,35 - 49,46.70,7.11,5 - 14,7.11,26.09,20 - 29,26.09,1.72,1 - 4,1.72,54.15,50 - 64,54.15,8.75,5 - 9,8.75,4.93,Less than 5,4.93,90.71,90 - 94,90.71,4.54,Less than 5,4.54,3.46,2 - 4,3.46,73.87,65 - 74,73.87
1023,01023,188,Less than 250,188.00,-1.07,Slight Decrease,-1.07,439,180 - 499,439.00,-0.26,Sparse Data,-0.26,-1.40,Slight Decrease,-1.40,-1.50,Slight Decrease,-1.50,0.64,Sparse Data,0.64,-0.53,Sparse Data,-0.53,0.00,Sparse Data,0.00,1.84,Sparse Data,1.84,0.63,Sparse Data,0.63,14.1,10 - 29,14.10,2.09,Sparse Data,2.09,0.04,Less than 1,0.04,-0.60,Sparse Data,-0.60,1.13,Less than 5,1.13,8.02,Less than 10,8.02,-0.69,Sparse Data,-0.69,5.42,Less than 10,5.42,0.07,Less than 5,0.07,16.88,15 - 29,16.88,0.24,Less than 1,0.24,0.48,Less than 1,0.48,0.55,Less than 5,0.55,90.00,80 or more,90.00,39.64,35 - 49,39.64,22.85,15 - 29,22.85,8.31,Less than 10,8.31,(D),1 - 4,,21.14,Less than 30,21.14,3.63,Less than 5,3.63,0.00,Less than 5,0.00,88.83,85 - 89,88.83,6.38,5 - 9,6.38,2.13,2 - 4,2.13,66.49,65 - 74,66.49
1025,01025,320,250 - 499,320.00,0.62,Negligible Change,0.62,202,180 - 499,202.00,0.22,Sparse Data,0.22,0.44,Sparse Data,0.44,0.00,Sparse Data,0.00,0.93,Sparse Data,0.93,-0.37,Sparse Data,-0.37,0.89,Sparse Data,0.89,1.05,Sparse Data,1.05,1.01,Sparse Data,1.01,8.1,Less than 10,8.10,-1.10,Sparse Data,-1.10,0.01,Less than 1,0.01,1.01,Sparse Data,1.01,1.41,Less than 5,1.41,17.31,10 - 19,17.31,0.58,Sparse Data,0.58,11.81,10 - 19,11.81,0.12,Less than 5,0.12,27.63,15 - 29,27.63,0.00,Less than 1,0.00,0.24,Less than 1,0.24,2.58,Less than 5,2.58,99.14,80 or more,99.14,33.55,20 - 34,33.55,4.54,Less than 5,4.54,(D),Less than 10,,(D),Less than 1,,23.86,Less than 30,23.86,(D),Less than 5,,(D),Less than 5,,97.19,95 or more,97.19,2.50,Less than 5,2.50,0.31,Less than 2,0.31,56.56,55 - 64,56.56
1027,01027,381,250 - 499,381.00,-0.18,Sparse Data,-0.18,187,180 - 499,187.00,0.35,Sparse Data,0.35,-0.52,Sparse Data,-0.52,0.30,Sparse Data,0.30,-1.07,Slight Decrease,-1.07,0.42,Sparse Data,0.42,-0.47,Sparse Data,-0.47,0.00,Sparse Data,0.00,-0.32,Sparse Data,-0.32,18.4,10 - 29,18.40,-0.20,Sparse Data,-0.20,0.02,Less than 1,0.02,-0.19,Sparse Data,-0.19,3.16,Less than 5,3.16,17.13,10 - 19,17.13,0.47,Sparse Data,0.47,14.36,10 - 19,14.36,0.15,Less than 5,0.15,54.66,50 - 69,54.66,0.00,Less than 1,0.00,0.75,Less than 1,0.75,17.83,5 - 19,17.83,118.33,80 or more,118.33,14.42,Less than 20,14.42,65.01,60 or more,65.01,7.92,Less than 10,7.92,(D),Less than 1,,85.68,75 - 89,85.68,0.00,Less than 5,0.00,0.22,Less than 5,0.22,97.38,95 or more,97.38,2.36,Less than 5,2.36,0.26,Less than 2,0.26,71.65,65 - 74,71.65
1029,01029,319,250 - 499,319.00,-0.24,Sparse Data,-0.24,152,50 - 179,152.00,0.22,Sparse Data,0.22,-0.92,Negligible Change,-0.92,-0.19,Sparse Data,-0.19,0.55,Sparse Data,0.55,-0.13,Sparse Data,-0.13,-0.67,Sparse Data,-0.67,-2.67,Sparse Data,-2.67,-0.13,Sparse Data,-0.13,13.5,10 - 29,13.50,0.31,Sparse Data,0.31,0.75,Less than 1,0.75,0.43,Sparse Data,0.43,2.50,Less than 5,2.50,18.49,10 - 19,18.49,0.63,Sparse Data,0.63,15.26,10 - 19,15.26,3.33,Less than 5,3.33,46.37,30 - 49,46.37,0.51,Less than 1,0.51,(D),Less than 1,,7.73,5 - 19,7.73,109.68,80 or more,109.68,24.45,20 - 34,24.45,70.68,60 or more,70.68,13.19,10 - 19,13.19,(D),Less than 1,,100.56,90 or more,100.56,(D),Less than 5,,0.41,Less than 5,0.41,90.28,90 - 94,90.28,2.82,Less than 5,2.82,6.27,5 - 9,6.27,76.80,75 - 84,76.80
1031,01031,788,750 - 999,788.00,-0.48,Negligible Change,-0.48,225,180 - 499,225.00,0.06,Sparse Data,0.06,-0.08,Sparse Data,-0.08,-0.78,Negligible Change,-0.78,-0.32,Sparse Data,-0.32,-0.49,Sparse Data,-0.49,0.65,Sparse Data,0.65,-0.95,Sparse Data,-0.95,-0.49,Negligible Change,-0.49,40.8,30 - 49,40.80,0.36,Sparse Data,0.36,2.28,1 - 4,2.28,-0.88,Negligible Change,-0.88,14.79,5 - 14,14.79,36.26,20 - 39,36.26,-0.86,Negligible Change,-0.86,25.36,20 - 39,25.36,8.99,5 - 19,8.99,27.43,15 - 29,27.43,0.00,Less than 1,0.00,5.86,3 - 5,5.86,19.10,5 - 19,19.10,72.67,70 - 79,72.67,51.12,50 - 64,51.12,22.26,15 - 29,22.26,39.30,30 - 39,39.30,6.18,5 - 14,6.18,69.10,65 - 74,69.10,13.85,10 - 19,13.85,10.39,10 - 24,10.39,89.09,85 - 89,89.09,3.05,Less than 5,3.05,5.58,5 - 9,5.58,70.94,65 - 74,70.94
1033,01033,591,500 - 749,591.00,-0.55,Negligible Change,-0.55,254,180 - 499,254.00,0.15,Sparse Data,0.15,-0.49,Negligible Change,-0.49,-0.65,Negligible Change,-0.65,-0.86,Negligible Change,-0.86,-0.40,Sparse Data,-0.40,0.77,Sparse Data,0.77,-0.92,Sparse Data,-0.92,-0.06,Sparse Data,-0.06,39.6,30 - 49,39.60,(D),Sparse Data,,(D),1 - 4,,0.75,Negligible Change,0.75,22.62,15 - 29,22.62,57.07,40 - 59,57.07,0.89,Negligible Change,0.89,52.12,40 - 59,52.12,(D),Less than 5,,23.90,15 - 29,23.90,0.05,Less than 1,0.05,1.41,1 - 2,1.41,45.65,35 - 49,45.65,77.53,70 - 79,77.53,69.27,65 - 74,69.27,9.40,5 - 14,9.40,67.85,60 or more,67.85,6.36,5 - 14,6.36,85.73,75 - 89,85.73,6.33,5 - 9,6.33,3.07,Less than 5,3.07,92.39,90 - 94,92.39,4.40,Less than 5,4.40,3.21,2 - 4,3.21,73.77,65 - 74,73.77
1035,01035,344,250 - 499,344.00,-0.02,Sparse Data,-0.02,302,180 - 499,302.00,0.43,Sparse Data,0.43,0.51,Sparse Data,0.51,-0.41,Sparse Data,-0.41,-0.81,Sparse Data,-0.81,-0.09,Sparse Data,-0.09,0.76,Sparse Data,0.76,1.05,Sparse Data,1.05,0.37,Sparse Data,0.37,19.1,10 - 29,19.10,-0.51,Sparse Data,-0.51,0.07,Less than 1,0.07,0.79,Sparse Data,0.79,4.90,Less than 5,4.90,25.62,20 - 39,25.62,0.95,Sparse Data,0.95,20.74,20 - 39,20.74,(D),Less than 5,,22.21,15 - 29,22.21,(D),Less than 1,,3.41,3 - 5,3.41,16.09,5 - 19,16.09,91.43,80 or more,91.43,62.60,50 - 64,62.60,10.10,5 - 14,10.10,23.63,20 - 29,23.63,0.36,Less than 1,0.36,57.14,50 - 64,57.14,41.40,30 or more,41.40,1.82,Less than 5,1.82,91.86,90 - 94,91.86,3.20,Less than 5,3.20,3.20,2 - 4,3.20,56.69,55 - 64,56.69
1037,01037,215,Less than 250,215.00,1.03,Slight Increase,1.03,214,180 - 499,214.00,0.41,Sparse Data,0.41,-0.40,Sparse Data,-0.40,1.36,Slight Increase,1.36,0.57,Sparse Data,0.57,0.29,Sparse Data,0.29,0.46,Sparse Data,0.46,0.00,Sparse Data,0.00,0.82,Sparse Data,0.82,11.0,10 - 29,11.00,(D),Sparse Data,,0.10,Less than 1,0.10,0.52,Sparse Data,0.52,1.24,Less than 5,1.24,11.23,10 - 19,11.23,0.58,Sparse Data,0.58,8.87,Less than 10,8.87,(D),Less than 5,,42.47,30 - 49,42.47,(D),Less than 1,,0.17,Less than 1,0.17,0.91,Less than 5,0.91,102.73,80 or more,102.73,39.25,35 - 49,39.25,22.47,15 - 29,22.47,0.39,Less than 10,0.39,0.00,Less than 1,0.00,25.93,Less than 30,25.93,0.00,Less than 5,0.00,0.10,Less than 5,0.10,96.28,95 or more,96.28,1.86,Less than 5,1.86,0.93,Less than 2,0.93,72.56,65 - 74,72.56
1039,01039,907,750 - 999,907.00,-0.54,Negligible Change,-0.54,178,50 - 179,178.00,0.18,Sparse Data,0.18,-0.22,Negligible Change,-0.22,-0.53,Negligible Change,-0.53,-0.69,Negligible Change,-0.69,-0.68,Sparse Data,-0.68,0.13,Sparse Data,0.13,-1.06,Sparse Data,-1.06,-0.96,Negligible Change,-0.96,24.5,10 - 29,24.50,-0.13,Sparse Data,-0.13,0.82,Less than 1,0.82,-0.58,Sparse Data,-0.58,8.23,5 - 14,8.23,33.62,20 - 39,33.62,-0.43,Sparse Data,-0.43,26.19,20 - 39,26.19,3.09,Less than 5,3.09,26.64,15 - 29,26.64,0.04,Less than 1,0.04,5.86,3 - 5,5.86,21.30,20 - 34,21.30,83.72,80 or more,83.72,58.34,50 - 64,58.34,20.59,15 - 29,20.59,40.82,40 - 59,40.82,3.00,1 - 4,3.00,63.12,50 - 64,63.12,15.20,10 - 19,15.20,16.07,10 - 24,16.07,90.63,90 - 94,90.63,5.18,5 - 9,5.18,2.65,2 - 4,2.65,71.55,65 - 74,71.55
1041,01041,543,500 - 749,543.00,-0.20,Sparse Data,-0.20,211,180 - 499,211.00,0.34,Negligible Change,0.34,0.25,Sparse Data,0.25,-0.48,Negligible Change,-0.48,-0.09,Sparse Data,-0.09,-1.28,Slight Decrease,-1.28,0.28,Sparse Data,0.28,1.84,Sparse Data,1.84,-0.47,Sparse Data,-0.47,29.3,10 - 29,29.30,-1.95,Sparse Data,-1.95,0.02,Less than 1,0.02,-0.63,Sparse Data,-0.63,6.06,5 - 14,6.06,20.65,20 - 39,20.65,-0.47,Sparse Data,-0.47,13.95,10 - 19,13.95,0.14,Less than 5,0.14,34.32,30 - 49,34.32,0.01,Less than 1,0.01,4.59,3 - 5,4.59,6.80,5 - 19,6.80,77.51,70 - 79,77.51,33.44,20 - 34,33.44,30.37,30 - 59,30.37,10.98,10 - 19,10.98,4.29,1 - 4,4.29,73.88,65 - 74,73.88,(D),5 - 9,,8.19,5 - 9,8.19,90.98,90 - 94,90.98,5.71,5 - 9,5.71,2.03,2 - 4,2.03,67.59,65 - 74,67.59
1043,01043,1781,"1,000 or more",1781.00,-0.43,Negligible Change,-0.43,117,50 - 179,117.00,0.12,Negligible Change,0.12,-0.45,Negligible Change,-0.45,-0.47,Negligible Change,-0.47,-0.14,Sparse Data,-0.14,0.52,Sparse Data,0.52,-1.16,Sparse Data,-1.16,0.00,Sparse Data,0.00,0.26,Sparse Data,0.26,44.5,30 - 49,44.50,2.02,Sparse Data,2.02,0.90,Less than 1,0.90,0.12,Sparse Data,0.12,12.95,5 - 14,12.95,29.12,20 - 39,29.12,-0.04,Sparse Data,-0.04,23.37,20 - 39,23.37,3.51,Less than 5,3.51,43.21,30 - 49,43.21,0.18,Less than 1,0.18,1.23,1 - 2,1.23,6.11,5 - 19,6.11,94.33,80 or more,94.33,36.54,35 - 49,36.54,58.60,30 - 59,58.60,34.39,30 - 39,34.39,1.60,1 - 4,1.60,99.04,90 or more,99.04,1.88,Less than 5,1.88,5.07,5 - 9,5.07,93.09,90 - 94,93.09,4.15,Less than 5,4.15,2.58,2 - 4,2.58,75.52,75 - 84,75.52
1045,01045,469,250 - 499,469.00,-0.13,Sparse Data,-0.13,292,180 - 499,292.00,0.00,Sparse Data,0.00,-0.11,Sparse Data,-0.11,-0.16,Sparse Data,-0.16,-0.23,Sparse Data,-0.23,0.00,Sparse Data,0.00,0.43,Sparse Data,0.43,-0.24,Sparse Data,-0.24,0.19,Sparse Data,0.19,38.1,30 - 49,38.10,-0.08,Sparse Data,-0.08,1.79,1 - 4,1.79,0.17,Sparse Data,0.17,14.62,5 - 14,14.62,38.32,20 - 39,38.32,-0.19,Sparse Data,-0.19,25.11,20 - 39,25.11,6.96,5 - 19,6.96,22.37,15 - 29,22.37,0.18,Less than 1,0.18,3.84,3 - 5,3.84,20.61,20 - 34,20.61,76.80,70 - 79,76.80,72.00,65 - 74,72.00,15.85,15 - 29,15.85,50.39,40 - 59,50.39,2.83,1 - 4,2.83,67.95,65 - 74,67.95,14.60,10 - 19,14.60,13.83,10 - 24,13.83,85.93,85 - 89,85.93,8.32,5 - 9,8.32,4.48,2 - 4,4.48,77.19,75 - 84,77.19
